iter	Passed	Remaining
423	1311	1163
424	1312	1158
425	1313	1153
426	1314	1148
427	1315	1143
428	1316	1138
429	1317	1133
430	1318	1128
431	1319	1123
432	1320	1119
433	1321	1114
434	1323	1110
435	1324	1105
436	1325	1100
437	1326	1095
438	1326	1091
439	1328	1086
440	1329	1081
441	1330	1077
442	1331	1072
443	1332	1068
444	1333	1063
445	1334	1058
446	1335	1054
447	1335	1049
448	1336	1045
449	1337	1040
450	1338	1036
451	1340	1032
452	1341	1027
453	1342	1023
454	1343	1018
455	1344	1014
456	1345	1009
457	1345	1005
458	1346	1000
459	1347	996
460	1348	991
461	1349	987
462	1350	983
463	1352	979
464	1353	974
465	1353	970
466	1354	966
467	1355	961
468	1356	957
469	1357	953
470	1358	948
471	1359	944
472	1362	941
473	1363	937
474	1364	933
475	1365	929
476	1366	925
477	1367	921
478	1368	916
479	1368	912
480	1369	908
481	1370	904
482	1372	901
483	1374	897
484	1375	893
485	1376	889
486	1378	885
487	1378	881
488	1379	877
489	1380	873
490	1381	869
491	1382	865
492	1383	861
493	1385	857
494	1386	854
495	1387	850
496	1388	846
497	1389	842
498	1390	838
499	1390	834
500	1391	830
501	1392	826
502	1394	823
503	1395	819
504	1396	815
505	1397	812
506	1398	808
507	1399	804
508	1400	800
509	1401	797
510	1402	793
511	1403	789
512	1405	786
513	1406	782
514	1407	779
515	1408	775
516	1409	771
517	1410	767
518	1411	764
519	1412	760
520	1413	756
521	1414	753
522	1416	750
523	1417	746
524	1418	743
525	1419	739
526	1420	735
527	1421	732
528	1422	728
529	1422	724
530	1423	721
531	1424	717
532	1426	714
533	1427	711
534	1428	707
535	1429	704
536	1430	700
537	1431	697
538	1432	693
539	1433	690
540	1434	686
541	1435	683
542	1436	679
543	1438	676
544	1439	673
545	1440	670
546	1441	666
547	1442	663
548	1443	660
549	1444	656
550	1445	653
551	1446	649
552	1447	646
553	1448	643
554	1449	639
555	1450	636
556	1452	633
557	1453	630
558	1454	627
559	1456	624
560	1457	621
561	1459	618
562	1462	615
563	1463	612
564	1464	609
565	1465	605
566	1466	602
567	1467	599
568	1468	596
569	1469	592
570	1470	589
571	1472	586
572	1473	583
573	1474	580
574	1475	577
575	1476	574
576	1477	570
577	1478	567
578	1479	564
579	1479	561
580	1480	558
581	1481	555
582	1484	552
583	1485	549
584	1486	546
585	1487	543
586	1488	540
587	1489	536
588	1490	533
589	1491	530
590	1491	527
591	1492	524
592	1493	521
593	1495	518
594	1496	515
595	1497	512
596	1498	509
597	1499	506
598	1499	503
599	1500	500
600	1501	497
601	1502	494
602	1507	492
603	1509	489
604	1510	486
605	1510	483
606	1511	480
607	1512	477
608	1513	474
609	1514	471
610	1515	468
611	1516	465
612	1517	462
613	1518	460
614	1522	457
615	1523	455
616	1524	452
617	1525	449
618	1526	446
619	1527	443
620	1528	440
621	1528	437
622	1530	434
623	1532	432
624	1533	429
625	1534	426
626	1535	423
627	1536	420
628	1537	418
629	1539	415
630	1540	412
631	1543	410
632	1544	407
633	1545	404
634	1546	401
635	1547	399
636	1548	396
637	1549	393
638	1550	390
639	1551	387
640	1551	384
641	1552	382
642	1554	379
643	1555	376
644	1556	373
645	1556	371
646	1557	368
647	1558	365
648	1559	362
649	1560	360
650	1561	357
651	1562	354
652	1564	352
653	1565	349
654	1567	346
655	1568	344
656	1569	341
657	1571	339
658	1572	336
659	1574	333
660	1575	331
661	1576	328
662	1577	326
663	1578	323
664	1579	320
665	1580	318
666	1581	315
667	1582	312
