iter	RMSE
0	8.99745023
1	7.512139032
2	6.05319619
3	5.22864451
4	4.508582033
5	4.099057712
6	3.818528953
7	3.618000998
8	3.512391228
9	3.442845666
10	3.24686493
11	3.120849292
12	3.04510841
13	2.968761381
14	2.917619599
15	2.814833813
16	2.739656382
17	2.674656355
18	2.616437091
19	2.569934804
20	2.546800639
21	2.522722641
22	2.484628105
23	2.436579345
24	2.415273391
25	2.396100506
26	2.318516372
27	2.280334706
28	2.259928101
29	2.225504527
30	2.176420537
31	2.109655304
32	2.075426915
33	2.022846013
34	1.995379408
35	1.985973829
36	1.970513401
37	1.932938669
38	1.883576174
39	1.847186523
40	1.807935983
41	1.801108308
42	1.785644091
43	1.776905412
44	1.761691847
45	1.725482983
46	1.687435234
47	1.657859878
48	1.650695189
49	1.623312348
50	1.618429692
51	1.592332018
52	1.589387981
53	1.567924668
54	1.537590485
55	1.510280558
56	1.504050113
57	1.497378812
58	1.475128502
59	1.451080653
60	1.444145219
61	1.4329356
62	1.429497548
63	1.408567772
64	1.386835302
65	1.361599009
66	1.342164234
67	1.338388277
68	1.332228706
69	1.31949956
70	1.303497998
71	1.29826684
72	1.277848424
73	1.274966775
74	1.258769893
75	1.253660536
76	1.242020877
77	1.237593163
78	1.231854308
79	1.219019079
80	1.202801322
81	1.187183051
82	1.183174404
83	1.176265906
84	1.161694404
85	1.156341417
86	1.153691549
87	1.14799973
88	1.132530086
89	1.120475547
90	1.116654647
91	1.106133001
92	1.089310893
93	1.085056086
94	1.077842665
95	1.076139662
96	1.065974216
97	1.063069029
98	1.044734167
99	1.038708408
100	1.030655491
101	1.028152653
102	1.02625645
103	1.022230087
104	1.01147856
105	1.009329217
106	1.005833301
107	1.003026733
108	1.000510794
109	0.9952301697
110	0.9841190174
111	0.9813223158
112	0.9759216154
113	0.9720432555
114	0.9684441217
115	0.9566999691
116	0.954726016
117	0.9483177814
118	0.9370107627
119	0.9268197709
120	0.9244409659
121	0.9161401363
122	0.9148667597
123	0.9137810924
124	0.911050907
125	0.9101088858
126	0.9040158477
127	0.8989803994
128	0.889766793
129	0.8872001283
130	0.8855536978
131	0.8822998196
132	0.8785484042
133	0.8729594473
134	0.8710867569
135	0.866538639
136	0.8627942093
137	0.860619173
138	0.8591246459
139	0.8553159404
140	0.8504517049
141	0.8480285937
142	0.847285676
143	0.8460338056
144	0.8364359036
145	0.8326394693
146	0.8278849513
147	0.8259240866
148	0.8215609959
149	0.8160512678
150	0.8137498137
151	0.8126985604
152	0.7989083424
153	0.7943427752
154	0.7876846052
155	0.7815161433
156	0.7758196941
157	0.7737587363
158	0.7715255081
159	0.7645112086
160	0.7622120478
161	0.7600359374
162	0.7589009173
163	0.7526550465
164	0.750135663
165	0.7483628873
166	0.7464829424
167	0.7354841586
168	0.731102909
169	0.7282477057
170	0.7257544211
171	0.724336011
172	0.7165564819
173	0.7129497615
174	0.7099343181
175	0.7082967877
176	0.7035944183
177	0.7010690177
178	0.6994896567
179	0.6971723923
180	0.6919598997
181	0.6913990525
182	0.6901636453
183	0.6838799147
184	0.6833246901
185	0.6822599887
186	0.6803029529
187	0.6792961876
188	0.6780000702
189	0.6731150431
190	0.6702131404
191	0.6684000502
192	0.6640230014
193	0.6628480795
194	0.6622978857
195	0.6612338863
196	0.6604366585
197	0.658887291
198	0.650760475
199	0.6457405263
200	0.6418360307
201	0.6415170764
202	0.6380997063
203	0.6365913085
204	0.6330031687
205	0.6319450264
206	0.6278142468
207	0.6263992645
208	0.6234958153
209	0.6213801589
210	0.6200943718
211	0.6193241622
212	0.6175478599
213	0.6171479805
214	0.6121504296
215	0.609351809
216	0.6079972162
217	0.6010523782
218	0.6000416984
219	0.598998685
220	0.595493533
221	0.5931320078
222	0.5913256154
223	0.5871364381
224	0.5842770238
225	0.5822998701
226	0.5811603803
227	0.5773830552
228	0.5759691914
229	0.574285059
230	0.5730120867
231	0.5676245461
232	0.5670558746
233	0.5669586638
234	0.5613258881
235	0.5608813963
236	0.5591548562
237	0.5568512496
238	0.5553635051
239	0.554515842
240	0.5533835024
241	0.5509483994
242	0.5483821598
243	0.5463482497
244	0.5451090957
245	0.5442600589
246	0.5427753084
247	0.5412850302
248	0.5387609838
249	0.5382179392
250	0.5361938956
251	0.535714779
252	0.5343586419
253	0.5329556893
254	0.531094307
255	0.5301174218
256	0.5289812855
257	0.5273575817
258	0.5266213171
259	0.5224774818
260	0.5209125525
261	0.5176665128
262	0.5167746506
263	0.5153691216
264	0.5083007653
265	0.505968248
266	0.5054714094
267	0.5037671285
268	0.5021803227
269	0.5000028317
270	0.4978743777
271	0.4974441716
272	0.4964761422
273	0.4955863418
274	0.4913016598
275	0.4903925677
276	0.4900716316
277	0.4883229342
278	0.4844299315
279	0.4820874257
280	0.479411002
281	0.4777592779
282	0.4763123474
283	0.4747339419
284	0.469780153
285	0.4691432139
286	0.4684417465
287	0.4666258232
288	0.4664027265
289	0.4655498894
290	0.4645333397
291	0.4639463231
292	0.4633038981
293	0.4603967474
294	0.4593715966
295	0.4578768412
296	0.4573688459
297	0.4560025884
298	0.4535067613
299	0.4521345432
300	0.4515496229
301	0.4498690935
302	0.4493710609
303	0.4480801977
304	0.4468962732
305	0.4460141058
306	0.4453159413
307	0.4436607073
308	0.442538778
309	0.440761893
310	0.4404432539
311	0.4397548458
312	0.4385475903
313	0.4381118275
314	0.4376807356
315	0.436482412
316	0.4351801424
317	0.4345714887
318	0.4340457905
319	0.4323043951
320	0.4321482167
321	0.4314190837
322	0.4307079362
323	0.4304277639
324	0.4286572059
325	0.4279711009
326	0.4265714966
327	0.4260090012
328	0.4259059397
329	0.425308436
330	0.4249800242
331	0.4233606639
332	0.422941924
333	0.4217005965
334	0.4206870375
335	0.4189442541
336	0.4178617472
337	0.4171281869
338	0.4160061401
339	0.4151640191
340	0.4145481584
341	0.4133535292
342	0.4108019545
343	0.4105826099
344	0.4100667218
345	0.409212871
346	0.4078168656
347	0.4065958775
348	0.4051834482
349	0.404043063
350	0.4023634906
351	0.4015895304
352	0.4012124025
353	0.4003350314
354	0.3965080767
355	0.3956141702
356	0.3940255526
357	0.3934729821
358	0.3927636035
359	0.3926468456
360	0.3907156327
361	0.3898325001
362	0.3886777582
363	0.3879759873
364	0.3872488461
365	0.3862237705
366	0.3858446865
367	0.3848461235
368	0.3837850689
369	0.3822006376
370	0.380528943
371	0.3784295807
372	0.3752206365
373	0.3742079949
374	0.3734150244
375	0.3729431531
376	0.3725541524
377	0.3720750158
378	0.3710540053
379	0.3693228708
380	0.3682511294
381	0.367575013
382	0.367494527
383	0.3667168747
384	0.366304687
385	0.366274366
386	0.3657140351
387	0.3651477472
388	0.3646821764
389	0.3639852158
390	0.3628347202
391	0.3621979433
392	0.3619495776
393	0.361036611
394	0.359776018
395	0.3594789415
396	0.3584547212
397	0.3580652403
398	0.3568707087
399	0.3565878171
400	0.355342624
401	0.3540764227
402	0.3538972768
403	0.3532989606
404	0.3525471612
405	0.3517526239
406	0.3510872156
407	0.3508407065
408	0.3492902132
409	0.3489056725
410	0.3485556666
411	0.3478973159
412	0.3475581581
413	0.3469402974
414	0.3461650566
415	0.345299073
416	0.3449500797
417	0.3445246129
418	0.3435577416
419	0.3433216817
420	0.3425626089
421	0.3418050556
422	0.3415488791
423	0.3409037547
424	0.3406246529
425	0.3402404022
426	0.3398939887
427	0.339366687
428	0.3386108126
429	0.3379059709
430	0.3370165271
431	0.3356154604
432	0.3354015878
433	0.3348656545
434	0.3342594069
435	0.3339431622
436	0.3333355443
437	0.3308763599
438	0.3281367919
439	0.3277485215
440	0.3274385569
441	0.326914273
442	0.3263249265
443	0.3259867055
444	0.3258606692
445	0.3250503137
446	0.3248041849
447	0.3247293207
448	0.324305094
449	0.3231904428
450	0.3230674726
451	0.3226614492
452	0.3219679311
453	0.3213585913
454	0.3209998617
455	0.3207254522
456	0.319996572
457	0.3192567013
458	0.3184586853
459	0.3179602088
460	0.3159041676
461	0.3157874176
462	0.3154543448
463	0.3148157743
464	0.3146561925
465	0.3144564055
466	0.313600082
467	0.3132844948
468	0.3132642734
469	0.3126316012
470	0.3124025188
471	0.3116128117
472	0.3115942
473	0.3113128012
474	0.3106860239
475	0.3101382838
476	0.3084857843
477	0.3079650161
478	0.3078892984
479	0.307529574
480	0.307033503
481	0.3049894354
482	0.3042830874
483	0.303544429
484	0.3033236536
485	0.3029734202
486	0.3021093502
487	0.3017465494
488	0.301369636
489	0.3010588894
490	0.3001704807
491	0.2999611514
492	0.2993990448
493	0.2987633783
494	0.2986797416
495	0.298358819
496	0.2983457309
497	0.2979535465
498	0.2971739765
499	0.2967541578
500	0.2965977238
501	0.2960254192
502	0.2956564377
503	0.2954768186
504	0.2952044926
505	0.2946953813
506	0.2939208606
507	0.2936449461
508	0.2931356943
509	0.2928246508
510	0.292480681
511	0.2920186444
512	0.2914484056
513	0.29123256
514	0.2909465675
515	0.2900571428
516	0.289841133
517	0.2893234854
518	0.2884155331
519	0.2877682402
520	0.2870087048
521	0.2863530826
522	0.2856904826
523	0.2847509765
524	0.2844470601
525	0.2843151475
526	0.2825943461
527	0.2822650407
528	0.2815558323
529	0.2811554308
530	0.2809315068
531	0.2802638263
532	0.2799388631
533	0.2790798467
534	0.278882638
535	0.2782622498
536	0.2777902151
537	0.2772031597
538	0.277033051
539	0.276810537
540	0.276051235
541	0.2756865005
542	0.2756792137
543	0.2753838481
544	0.2751000126
545	0.2749274297
546	0.2748690689
547	0.2747482049
548	0.2744862894
549	0.2741256358
550	0.272219744
551	0.2718880293
552	0.2717205218
553	0.2711398271
554	0.2707051891
555	0.2699283901
556	0.2695919757
557	0.2695311885
558	0.2690871124
559	0.2686877787
560	0.2686313834
561	0.2684371113
562	0.2680439117
563	0.2664734255
564	0.2657592939
565	0.2656132622
566	0.2653286202
567	0.2648587092
568	0.2646032311
569	0.2642289093
570	0.2638306044
571	0.2631433977
572	0.262739525
573	0.2622956529
574	0.2617367575
575	0.2615625915
576	0.2614178577
577	0.2610466486
578	0.2609397927
579	0.2605034935
580	0.2602958645
581	0.2601050918
582	0.2594287389
583	0.2587277404
584	0.2582603527
585	0.2578461333
586	0.2574355973
587	0.2570375705
588	0.2565494295
589	0.2560300258
590	0.255845279
591	0.255365899
592	0.2548568551
593	0.2544647256
594	0.2540532691
595	0.2537312054
596	0.2535413271
597	0.2534695095
598	0.2532608464
599	0.2527252325
600	0.2521423087
601	0.2519203889
602	0.2516000212
603	0.2514955361
604	0.2511613605
605	0.2510376817
606	0.2506430959
607	0.250604139
608	0.2503240918
609	0.2499969798
610	0.2497899124
611	0.2495317993
612	0.2491831476
613	0.2488573968
614	0.2483952544
615	0.248197153
616	0.248157366
617	0.2478132818
618	0.2477639087
619	0.2474135475
620	0.247079909
621	0.2470009973
622	0.2466906825
623	0.246292077
624	0.2458585109
625	0.2456903584
626	0.2453384704
627	0.2451556171
628	0.2448957744
629	0.244820097
630	0.2438844296
631	0.2435782438
632	0.2424515579
633	0.2418256248
634	0.2415431761
635	0.2412651041
636	0.2410364344
637	0.2406972463
638	0.2405644166
639	0.2401922046
640	0.2399585883
641	0.2396143516
642	0.2395372925
643	0.2394562421
644	0.2391110636
645	0.2390504369
646	0.2382687991
647	0.2380569961
648	0.2378409452
649	0.2371458388
650	0.2370204158
651	0.2364186557
652	0.2362223594
653	0.235950167
654	0.2356633137
655	0.2347267186
656	0.2342874093
657	0.2339315586
658	0.2337840397
659	0.2329199527
660	0.2327076566
661	0.2319843596
662	0.2317444225
663	0.2315917575
664	0.2313204425
665	0.2309723411
666	0.2307251144
667	0.2306056531
668	0.2304748927
669	0.230273111
670	0.2298532542
671	0.2297587645
672	0.229711014
673	0.2294454683
674	0.2293252021
675	0.2291610206
676	0.2285553484
677	0.2284308526
678	0.2282372922
679	0.227823769
680	0.2276482903
681	0.2273719395
682	0.2267185034
683	0.2265918055
684	0.2263122546
685	0.2259913363
686	0.2257101074
687	0.225328088
688	0.225070328
689	0.2249015105
690	0.2243741982
691	0.2236495086
692	0.2233474019
693	0.2233181296
694	0.2229989781
695	0.2227602105
696	0.2226698103
697	0.2224289448
698	0.2221563494
699	0.2221049491
700	0.221733764
701	0.2215742498
702	0.2213213296
703	0.2209779673
704	0.2206976023
705	0.220637102
706	0.2199971155
707	0.2199268384
708	0.2197500948
709	0.2194781228
710	0.2190642709
711	0.2188209602
712	0.218503823
713	0.2181632371
714	0.2178814197
715	0.2176684641
716	0.2174149374
717	0.2172739141
718	0.2167684795
719	0.2165048438
720	0.2162315772
721	0.2159157194
722	0.2155852982
723	0.2154293208
724	0.2150761351
725	0.2146783625
726	0.2144593479
727	0.2143958502
728	0.2137333434
729	0.2134074587
730	0.2132100529
731	0.2130146886
732	0.2127057497
733	0.2122382925
734	0.211950311
735	0.2116055087
736	0.2113661442
737	0.2110926232
738	0.210761864
739	0.2106055518
740	0.2101864032
741	0.2100250063
742	0.2097298224
743	0.2094879017
744	0.2089587734
